village,state,district,date,report_time,patient_age_group,patient_gender,diarrhea_cases,fever_cases,vomiting_cases,stomach_pain_cases,dehydration_cases,nausea_cases,headache_cases,weakness_cases,asha_worker_id,clinic_reports,villager_self_reports,total_population,households_affected,severity_level
Barpeta Village,Assam,Assam_District_2,2023-09-14,2023-07-25 08:07:00,0-5,Male,14,10,9,6,8,5,5,7,ASHA_6362,0,7,4067,38,Mild
Thoubal Village,Manipur,Manipur_District_3,2023-07-12,2023-06-23 06:50:00,6-18,Female,9,8,12,4,8,8,8,6,ASHA_5420,3,4,2641,35,Mild
Namchi Village,Sikkim,Sikkim_District_2,2023-06-24,2023-03-06 16:39:00,0-5,Male,1,5,3,1,1,1,1,1,ASHA_6497,3,2,2594,16,Mild
Barpeta Village,Assam,Assam_District_2,2023-07-29,2023-06-17 09:43:00,19-60,Male,6,1,4,1,2,3,1,0,ASHA_9769,3,3,1294,27,Moderate
Thoubal Village,Manipur,Manipur_District_2,2023-08-01,2023-07-03 07:19:00,0-5,Female,5,3,0,4,4,1,3,5,ASHA_4319,1,4,3390,18,Mild
Thoubal Village,Manipur,Manipur_District_2,2023-10-20,2023-09-19 12:18:00,19-60,Female,1,3,7,0,2,3,3,2,ASHA_2914,1,2,2566,18,Mild
Karimganj Village,Assam,Assam_District_2,2023-12-07,2023-11-14 11:45:00,19-60,Female,2,2,3,0,1,2,3,0,ASHA_7474,2,5,898,11,Mild
Barpeta Village,Assam,Assam_District_1,2024-03-05,2023-12-17 09:59:00,19-60,Female,5,1,5,4,4,4,2,2,ASHA_8868,2,6,1143,22,Mild
Barpeta Village,Assam,Assam_District_1,2024-01-30,2023-12-03 09:32:00,6-18,Female,6,2,6,5,4,2,3,3,ASHA_2555,1,6,3506,24,Mild
Bishnupur Rural,Manipur,Manipur_District_3,2023-05-03,2023-04-05 16:34:00,0-5,Female,3,3,6,2,2,2,1,1,ASHA_8612,0,0,810,18,Moderate
Ukhrul Village,Manipur,Manipur_District_3,2024-02-16,2023-11-04 13:26:00,19-60,Female,4,0,0,3,3,1,0,2,ASHA_4942,3,0,1734,8,Mild
Shillong Rural,Meghalaya,Meghalaya_District_1,2023-12-02,2023-09-14 15:06:00,0-5,Male,8,9,8,8,7,3,4,6,ASHA_8452,1,6,813,41,Severe
Khowai Village,Tripura,Tripura_District_2,2023-12-12,2023-10-25 13:09:00,6-18,Male,6,2,0,1,1,0,1,1,ASHA_6720,4,5,4380,24,Mild
Serchhip Village,Mizoram,Mizoram_District_3,2023-12-18,2023-10-17 11:41:00,0-5,Male,3,2,4,1,3,2,1,1,ASHA_1576,0,6,4747,16,Mild
Dharmanagar Rural,Tripura,Tripura_District_3,2023-09-01,2023-06-14 12:51:00,6-18,Male,5,2,5,2,1,0,3,2,ASHA_6506,4,7,1116,23,Mild
Barpeta Village,Assam,Assam_District_3,2023-07-21,2023-07-02 13:20:00,0-5,Male,5,7,3,3,3,2,3,4,ASHA_4340,2,3,592,23,Mild
Amarpur Village,Tripura,Tripura_District_1,2023-07-06,2023-03-31 13:57:00,0-5,Male,2,2,1,0,0,0,1,1,ASHA_8466,0,4,4171,15,Moderate
Champhai Rural,Mizoram,Mizoram_District_3,2023-09-27,2023-08-27 08:37:00,0-5,Female,12,7,3,9,6,0,5,8,ASHA_4260,3,3,1430,27,Mild
Barpeta Village,Assam,Assam_District_1,2023-06-30,2023-06-26 14:28:00,0-5,Female,3,4,0,4,3,1,3,3,ASHA_7740,1,6,1487,26,Moderate
Dibrugarh Rural,Assam,Assam_District_1,2023-05-11,2023-03-09 13:55:00,0-5,Female,4,0,2,3,2,1,1,2,ASHA_9031,4,0,3529,21,Moderate
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2024-03-25,2023-12-11 14:03:00,19-60,Male,0,0,2,1,0,0,1,0,ASHA_2383,3,5,3196,20,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-09-05,2023-06-09 07:05:00,6-18,Male,16,9,5,8,6,0,5,9,ASHA_9240,4,1,3939,38,Mild
Teliamura Rural,Tripura,Tripura_District_3,2023-10-27,2023-09-20 12:56:00,19-60,Female,1,2,5,2,4,5,1,1,ASHA_4816,4,6,3186,25,Mild
Amarpur Village,Tripura,Tripura_District_3,2023-06-19,2023-05-02 06:53:00,6-18,Male,4,3,5,3,4,3,3,2,ASHA_5840,2,3,4093,24,Moderate
Khowai Village,Tripura,Tripura_District_2,2023-06-28,2023-04-18 11:13:00,0-5,Male,1,4,2,0,1,1,2,1,ASHA_9924,1,0,736,14,Mild
Jiribam Village,Manipur,Manipur_District_3,2023-10-08,2023-09-10 16:20:00,0-5,Male,6,1,1,3,2,1,1,2,ASHA_5388,2,4,4181,17,Mild
Tezpur Rural,Assam,Assam_District_2,2023-05-02,2023-01-24 11:18:00,6-18,Male,0,6,5,3,0,0,3,1,ASHA_9464,3,3,4297,27,Mild
Mangan Village,Sikkim,Sikkim_District_3,2023-05-10,2023-04-04 07:48:00,19-60,Male,5,4,2,1,1,0,2,2,ASHA_9939,0,4,3853,27,Moderate
Namchi Village,Sikkim,Sikkim_District_1,2023-12-22,2023-11-26 19:31:00,0-5,Male,4,3,0,1,0,0,3,2,ASHA_7845,1,6,2285,22,Moderate
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-30,2023-04-18 07:39:00,6-18,Female,2,3,0,2,0,0,0,1,ASHA_5754,2,6,1089,12,Mild
Kolasib Rural,Mizoram,Mizoram_District_3,2024-02-24,2023-12-03 19:45:00,19-60,Male,4,2,4,4,4,2,0,3,ASHA_5372,1,3,1539,24,Moderate
Jiribam Village,Manipur,Manipur_District_1,2023-05-26,2023-05-23 15:52:00,19-60,Male,1,3,3,1,2,1,2,2,ASHA_5945,3,2,4701,26,Mild
Gyalshing Rural,Sikkim,Sikkim_District_1,2023-08-06,2023-05-02 17:22:00,0-5,Male,8,2,2,5,4,4,1,2,ASHA_4492,1,2,4122,16,Moderate
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-14,2023-08-20 07:54:00,19-60,Female,5,1,5,7,6,3,0,3,ASHA_7094,3,0,3229,20,Moderate
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-11-12,2023-10-29 12:29:00,19-60,Female,3,1,1,2,1,0,1,0,ASHA_9174,2,1,4101,10,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-10-06,2023-09-24 09:33:00,6-18,Female,4,3,2,1,2,1,3,2,ASHA_5640,4,7,2244,14,Moderate
Aizawl Rural,Mizoram,Mizoram_District_1,2024-01-05,2023-09-15 18:04:00,19-60,Male,16,5,6,10,9,3,7,9,ASHA_7951,1,2,3341,46,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_2,2023-08-02,2023-07-18 08:51:00,60+,Male,9,14,4,7,4,1,8,9,ASHA_9101,2,1,2285,34,Moderate
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-19,2023-03-01 10:15:00,19-60,Female,1,1,0,1,1,1,0,1,ASHA_8274,2,7,975,8,Mild
Tuensang Village,Nagaland,Nagaland_District_3,2023-09-03,2023-05-22 09:02:00,0-5,Male,0,3,1,1,0,0,2,2,ASHA_2223,4,1,1731,9,Mild
Rangpo Rural,Sikkim,Sikkim_District_2,2023-07-09,2023-06-22 11:22:00,0-5,Female,10,10,10,5,6,3,5,7,ASHA_6795,0,5,2808,49,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_2,2023-09-30,2023-07-13 13:26:00,0-5,Male,5,11,8,4,3,1,5,5,ASHA_4818,3,4,4312,35,Mild
Mokokchung Rural,Nagaland,Nagaland_District_3,2024-01-13,2023-11-28 16:53:00,19-60,Male,0,5,3,3,3,3,2,3,ASHA_4464,3,3,3660,24,Mild
Saitual Rural,Mizoram,Mizoram_District_2,2023-12-16,2023-10-25 07:57:00,19-60,Male,2,8,0,1,0,0,4,3,ASHA_6350,1,1,1476,18,Mild
Tezpur Rural,Assam,Assam_District_1,2023-05-07,2023-01-16 19:41:00,60+,Female,0,3,0,0,1,1,1,1,ASHA_5340,2,6,1285,17,Severe
Khliehriat Village,Meghalaya,Meghalaya_District_3,2023-05-18,2023-03-01 07:42:00,19-60,Male,3,6,4,2,1,0,3,2,ASHA_6989,3,0,2712,31,Mild
Gangtok Rural,Sikkim,Sikkim_District_2,2023-07-01,2023-05-23 18:13:00,0-5,Female,6,0,3,2,2,2,1,1,ASHA_3447,2,4,2172,23,Mild
Belonia Rural,Tripura,Tripura_District_3,2023-06-29,2023-03-09 10:39:00,0-5,Male,3,4,3,4,2,2,1,1,ASHA_9767,3,5,4196,22,Mild
Tuensang Village,Nagaland,Nagaland_District_3,2023-10-28,2023-08-19 12:43:00,6-18,Female,17,0,11,8,8,4,1,5,ASHA_2352,3,4,1404,35,Moderate
Thoubal Village,Manipur,Manipur_District_2,2023-10-01,2023-09-19 12:18:00,19-60,Female,1,3,5,0,2,3,3,2,ASHA_2914,1,2,2566,16,Mild
Ukhrul Village,Manipur,Manipur_District_1,2023-07-20,2023-06-03 18:57:00,0-5,Female,4,8,5,0,1,1,4,3,ASHA_6789,1,7,2305,30,Moderate
Silchar Village,Assam,Assam_District_3,2023-03-01,2023-01-30 11:26:00,60+,Female,4,7,3,3,3,1,1,2,ASHA_4150,4,0,1483,25,Mild
Resubelpara Rural,Meghalaya,Meghalaya_District_2,2023-07-02,2023-04-16 19:18:00,6-18,Female,4,8,1,3,2,0,3,3,ASHA_2274,2,6,2180,17,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2024-02-22,2023-11-11 11:37:00,0-5,Male,5,6,6,5,2,1,4,2,ASHA_5832,1,4,4736,24,Moderate
Khliehriat Village,Meghalaya,Meghalaya_District_1,2023-02-05,2023-01-31 07:31:00,6-18,Male,5,3,0,4,2,0,1,2,ASHA_5920,0,4,2915,18,Moderate
Silchar Village,Assam,Assam_District_3,2023-08-27,2023-05-26 16:33:00,19-60,Female,6,0,7,1,3,4,1,1,ASHA_1051,2,0,2262,19,Mild
Namchi Village,Sikkim,Sikkim_District_1,2024-03-15,2023-11-26 19:31:00,0-5,Male,1,5,0,1,0,0,3,2,ASHA_7845,1,6,2285,18,Moderate
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-11-16,2023-07-20 06:52:00,6-18,Female,7,5,0,3,1,0,3,3,ASHA_6022,2,7,650,20,Mild
Gyalshing Rural,Sikkim,Sikkim_District_1,2023-04-30,2023-02-10 13:08:00,19-60,Female,8,2,0,2,1,1,1,2,ASHA_9281,0,7,2962,18,Mild
Zunheboto Village,Nagaland,Nagaland_District_2,2023-04-08,2023-03-01 11:51:00,0-5,Female,3,4,2,1,1,1,3,1,ASHA_7608,1,3,2112,14,Severe
Dimapur Village,Nagaland,Nagaland_District_3,2023-02-26,2023-02-08 11:23:00,0-5,Male,3,2,1,1,1,1,2,1,ASHA_7952,2,3,4698,18,Moderate
Resubelpara Rural,Meghalaya,Meghalaya_District_1,2023-06-25,2023-03-04 08:11:00,19-60,Male,6,6,0,1,3,3,5,2,ASHA_7605,0,7,4027,19,Mild
Gangtok Rural,Sikkim,Sikkim_District_2,2023-07-13,2023-05-24 19:26:00,19-60,Female,1,0,6,2,3,3,0,1,ASHA_9325,3,1,4813,21,Moderate
Nagaon Rural,Assam,Assam_District_1,2023-08-10,2023-06-30 08:08:00,6-18,Male,4,12,5,3,4,4,7,6,ASHA_2739,3,2,721,40,Mild
Nagaon Rural,Assam,Assam_District_2,2023-11-01,2023-08-05 15:05:00,6-18,Male,8,1,5,4,3,1,2,3,ASHA_8598,1,0,2914,32,Mild
Khowai Village,Tripura,Tripura_District_3,2023-11-28,2023-09-03 08:26:00,0-5,Female,15,8,2,10,6,1,4,8,ASHA_4719,2,5,3452,39,Mild
Saitual Rural,Mizoram,Mizoram_District_3,2023-05-20,2023-02-12 06:57:00,60+,Female,4,3,1,2,2,1,3,2,ASHA_7849,2,0,2029,24,Mild
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-04,2023-08-20 09:16:00,19-60,Male,11,14,5,8,7,3,9,10,ASHA_7879,0,2,818,48,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-04-20,2023-01-05 06:24:00,19-60,Female,0,5,3,3,2,2,4,2,ASHA_5670,2,5,3126,22,Moderate
Rangpo Rural,Sikkim,Sikkim_District_1,2023-02-20,2023-01-30 09:45:00,19-60,Female,1,2,7,0,1,2,1,0,ASHA_1192,2,6,2367,18,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-02-17,2023-01-27 11:26:00,6-18,Female,4,0,0,4,3,1,1,2,ASHA_8954,4,4,4425,16,Mild
Hnahthial Village,Mizoram,Mizoram_District_1,2023-03-29,2023-03-04 09:43:00,0-5,Male,7,0,2,5,3,1,0,2,ASHA_8727,3,6,972,26,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-08-23,2023-06-09 12:20:00,0-5,Female,6,1,4,1,3,3,0,1,ASHA_5436,3,1,2081,25,Mild
Tamenglong Rural,Manipur,Manipur_District_3,2023-07-28,2023-05-19 10:28:00,6-18,Male,4,2,0,3,1,0,2,2,ASHA_9675,0,7,1194,15,Moderate
Thoubal Village,Manipur,Manipur_District_3,2024-03-16,2023-12-04 18:12:00,0-5,Female,3,6,5,2,2,4,3,2,ASHA_3214,1,0,666,20,Mild
Kolasib Rural,Mizoram,Mizoram_District_3,2023-05-31,2023-02-19 13:18:00,6-18,Male,1,4,3,2,1,0,3,2,ASHA_4131,0,2,4190,14,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2024-01-28,2023-10-23 08:54:00,0-5,Male,6,4,5,4,2,0,2,3,ASHA_8221,4,6,3076,25,Mild
Baghmara Rural,Meghalaya,Meghalaya_District_2,2023-02-22,2023-02-12 07:25:00,60+,Male,7,5,4,4,3,1,0,2,ASHA_3889,3,4,2992,32,Mild
Roing Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-27,2023-02-03 17:08:00,19-60,Male,5,3,7,2,1,0,0,1,ASHA_5736,2,5,3342,27,Mild
Saitual Rural,Mizoram,Mizoram_District_1,2023-10-08,2023-06-28 16:06:00,6-18,Female,16,3,12,6,9,7,2,5,ASHA_5525,2,7,4706,35,Mild
Bishnupur Rural,Manipur,Manipur_District_2,2024-02-27,2023-11-02 11:19:00,6-18,Male,1,5,0,5,1,0,3,3,ASHA_3171,3,5,4498,24,Moderate
Gyalshing Rural,Sikkim,Sikkim_District_2,2023-10-09,2023-08-29 12:06:00,6-18,Female,2,3,0,2,1,0,3,3,ASHA_7745,4,5,3751,15,Moderate
Imphal Rural,Manipur,Manipur_District_1,2023-10-02,2023-07-01 07:31:00,0-5,Female,2,11,2,3,1,1,7,6,ASHA_2719,0,6,2311,25,Mild
Jorhat Village,Assam,Assam_District_3,2023-07-22,2023-06-03 19:46:00,0-5,Male,10,0,8,6,8,5,1,4,ASHA_4343,0,4,1742,35,Moderate
Karimganj Village,Assam,Assam_District_1,2023-11-08,2023-10-19 19:59:00,0-5,Female,2,6,4,2,1,0,3,3,ASHA_3251,4,6,4054,22,Mild
Wokha Rural,Nagaland,Nagaland_District_2,2023-05-05,2023-03-25 09:29:00,6-18,Female,5,6,2,3,4,2,2,4,ASHA_2987,4,4,623,26,Mild
Mokokchung Rural,Nagaland,Nagaland_District_2,2023-09-30,2023-08-31 11:29:00,6-18,Female,7,6,2,3,2,0,7,5,ASHA_6911,2,4,3139,33,Moderate
Zunheboto Village,Nagaland,Nagaland_District_3,2023-12-23,2023-09-05 06:36:00,0-5,Male,1,10,11,1,6,7,5,5,ASHA_2281,2,4,3055,34,Mild
Pakyong Village,Sikkim,Sikkim_District_3,2023-11-09,2023-10-19 16:16:00,6-18,Male,0,3,4,2,2,2,3,2,ASHA_3244,2,7,4395,20,Mild
Gyalshing Rural,Sikkim,Sikkim_District_2,2023-12-21,2023-12-05 09:24:00,19-60,Male,0,8,2,2,1,2,0,0,ASHA_5022,2,7,2035,19,Mild
Pakyong Village,Sikkim,Sikkim_District_3,2024-02-19,2023-12-12 16:17:00,19-60,Male,3,4,8,1,3,2,2,2,ASHA_8255,3,6,1276,33,Mild
Dharmanagar Rural,Tripura,Tripura_District_3,2023-10-11,2023-08-03 11:29:00,60+,Male,1,0,8,2,2,2,1,2,ASHA_6980,1,6,3895,14,Moderate
Baghmara Rural,Meghalaya,Meghalaya_District_2,2023-11-16,2023-09-10 17:22:00,19-60,Male,3,2,1,2,2,1,3,3,ASHA_9485,2,1,1991,14,Mild
Khowai Village,Tripura,Tripura_District_2,2023-05-19,2023-05-01 12:06:00,6-18,Female,7,11,5,8,4,2,4,6,ASHA_7115,4,0,3310,42,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_2,2023-08-11,2023-06-12 13:39:00,6-18,Male,8,8,0,6,7,4,3,6,ASHA_2403,1,3,1477,27,Mild
Kiphire Village,Nagaland,Nagaland_District_3,2024-03-20,2023-11-30 18:43:00,6-18,Female,7,1,3,4,3,1,0,2,ASHA_7341,2,4,2811,17,Moderate
Silchar Village,Assam,Assam_District_3,2023-06-01,2023-05-21 19:25:00,0-5,Female,6,7,5,4,6,5,2,3,ASHA_7402,2,4,3661,28,Severe
Wokha Rural,Nagaland,Nagaland_District_3,2023-07-20,2023-04-16 16:54:00,19-60,Female,4,5,1,1,1,0,1,1,ASHA_4129,3,6,2754,18,Mild
Gangtok Rural,Sikkim,Sikkim_District_2,2023-04-20,2023-04-05 08:06:00,0-5,Male,2,5,1,1,1,1,2,2,ASHA_8274,2,6,1720,20,Moderate
Silchar Village,Assam,Assam_District_2,2023-07-16,2023-06-18 11:08:00,6-18,Female,1,11,3,0,1,2,5,4,ASHA_1452,2,4,665,22,Moderate
Pakyong Village,Sikkim,Sikkim_District_3,2023-12-27,2023-09-11 08:50:00,0-5,Female,6,4,7,4,6,3,1,4,ASHA_1050,2,7,1829,27,Mild
Khowai Village,Tripura,Tripura_District_3,2023-12-08,2023-11-02 16:07:00,6-18,Male,5,5,0,2,2,1,2,2,ASHA_7173,1,5,2249,28,Mild
Pakyong Village,Sikkim,Sikkim_District_2,2023-10-08,2023-08-06 16:49:00,0-5,Male,5,7,0,2,1,0,3,3,ASHA_9447,3,1,1004,17,Moderate
Dibrugarh Rural,Assam,Assam_District_3,2024-01-07,2023-11-22 09:53:00,6-18,Male,2,4,1,1,1,0,2,3,ASHA_1562,3,0,1125,23,Moderate
Jorhat Village,Assam,Assam_District_3,2024-02-13,2023-12-01 06:21:00,0-5,Female,7,2,4,4,2,1,2,2,ASHA_9275,0,5,3334,18,Mild
Jowai Rural,Meghalaya,Meghalaya_District_3,2023-06-19,2023-05-01 11:57:00,0-5,Female,0,10,4,0,1,2,3,2,ASHA_6372,2,5,3900,25,Mild
Singtam Village,Sikkim,Sikkim_District_2,2023-04-16,2023-02-22 07:34:00,60+,Female,4,8,0,1,0,0,3,3,ASHA_8864,2,7,2774,26,Mild
Baghmara Rural,Meghalaya,Meghalaya_District_3,2023-11-11,2023-08-05 10:10:00,0-5,Male,5,16,5,4,4,4,8,7,ASHA_9929,1,2,1445,45,Severe
Belonia Rural,Tripura,Tripura_District_3,2024-01-04,2023-10-30 09:14:00,6-18,Female,8,3,6,5,4,1,0,3,ASHA_2059,4,2,2602,25,Mild
Tuensang Village,Nagaland,Nagaland_District_2,2023-05-28,2023-03-21 09:30:00,19-60,Female,4,4,4,1,1,0,2,2,ASHA_2184,1,6,3879,16,Mild
Singtam Village,Sikkim,Sikkim_District_3,2024-01-24,2023-10-20 07:31:00,19-60,Female,8,3,0,3,3,2,1,3,ASHA_5753,1,5,4239,27,Moderate
Mokokchung Rural,Nagaland,Nagaland_District_1,2023-11-18,2023-09-28 07:01:00,60+,Male,0,5,3,0,1,1,3,1,ASHA_4069,1,6,4406,26,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-04-15,2023-01-06 18:42:00,6-18,Male,0,5,1,1,1,0,1,2,ASHA_7320,0,6,3932,19,Mild
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-09-07,2023-06-13 14:57:00,6-18,Female,6,10,6,5,7,6,7,7,ASHA_1415,1,0,1072,26,Mild
Agartala Rural,Tripura,Tripura_District_3,2024-01-16,2023-10-02 15:07:00,0-5,Female,2,7,1,4,3,3,4,4,ASHA_2992,2,1,3900,22,Mild
Kolasib Rural,Mizoram,Mizoram_District_3,2023-12-30,2023-11-05 08:36:00,0-5,Male,0,3,0,3,0,0,2,1,ASHA_4360,3,6,3588,13,Moderate
Dharmanagar Rural,Tripura,Tripura_District_1,2023-07-11,2023-05-05 12:32:00,0-5,Male,4,4,6,3,2,1,2,2,ASHA_8130,2,2,865,25,Mild
Shillong Rural,Meghalaya,Meghalaya_District_1,2023-09-18,2023-09-02 14:56:00,60+,Female,9,0,3,6,4,2,2,3,ASHA_2620,3,5,1848,16,Moderate
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-10-17,2023-10-03 19:06:00,6-18,Female,1,7,4,0,2,3,2,1,ASHA_3664,1,3,2985,21,Mild
Tura Village,Meghalaya,Meghalaya_District_2,2023-01-16,2023-01-03 06:29:00,60+,Female,5,0,1,3,2,1,0,2,ASHA_6188,1,7,2135,25,Mild
Churachandpur Village,Manipur,Manipur_District_2,2023-04-19,2023-02-02 10:50:00,6-18,Male,2,5,8,2,2,1,1,2,ASHA_2223,4,4,4166,19,Mild
Dibrugarh Rural,Assam,Assam_District_1,2023-07-09,2023-05-31 11:03:00,19-60,Female,5,1,3,0,1,2,1,1,ASHA_6191,4,1,4638,27,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_3,2023-03-26,2023-02-19 10:51:00,19-60,Male,2,3,6,3,2,1,0,1,ASHA_7030,4,6,3252,23,Mild
Tura Village,Meghalaya,Meghalaya_District_3,2023-05-22,2023-03-11 15:12:00,0-5,Female,3,8,2,3,3,2,2,3,ASHA_6631,2,4,4407,26,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-10-07,2023-08-20 07:54:00,19-60,Female,10,0,6,7,6,3,0,3,ASHA_7094,3,0,3229,34,Moderate
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-04-23,2023-04-06 10:45:00,6-18,Female,2,3,1,1,0,1,4,2,ASHA_1604,4,5,1095,13,Mild
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-11-22,2023-09-16 14:53:00,0-5,Male,12,6,2,4,4,2,3,5,ASHA_8028,4,4,4120,39,Mild
Lawngtlai Village,Mizoram,Mizoram_District_2,2023-03-28,2023-01-21 12:12:00,0-5,Female,0,3,3,1,1,1,3,1,ASHA_2700,4,1,984,14,Moderate
Ukhrul Village,Manipur,Manipur_District_1,2023-08-09,2023-07-23 06:14:00,60+,Female,5,3,5,1,2,2,0,1,ASHA_8460,3,7,931,22,Mild
Tezpur Rural,Assam,Assam_District_1,2024-01-14,2023-12-12 16:32:00,19-60,Female,4,5,5,0,3,5,3,2,ASHA_4874,1,4,1742,25,Mild
Lawngtlai Village,Mizoram,Mizoram_District_1,2023-05-03,2023-04-04 12:47:00,6-18,Female,5,4,2,3,3,2,2,2,ASHA_7195,2,0,2022,24,Mild
Jorethang Rural,Sikkim,Sikkim_District_3,2024-02-05,2023-11-14 11:03:00,0-5,Female,5,2,2,4,2,2,4,3,ASHA_3614,2,7,1663,18,Mild
Amarpur Village,Tripura,Tripura_District_3,2023-04-01,2023-03-02 11:59:00,19-60,Male,4,0,0,0,0,0,1,1,ASHA_4897,4,1,1179,20,Moderate
Baghmara Rural,Meghalaya,Meghalaya_District_3,2023-07-12,2023-07-08 07:56:00,0-5,Male,4,8,6,4,2,1,5,4,ASHA_2750,1,3,2202,22,Mild
Nagaon Rural,Assam,Assam_District_2,2024-01-15,2023-12-14 10:50:00,19-60,Female,0,3,2,3,1,1,2,2,ASHA_8693,0,6,3226,19,Mild
Pakyong Village,Sikkim,Sikkim_District_3,2023-08-18,2023-06-23 09:24:00,6-18,Female,6,9,3,5,4,3,4,5,ASHA_2601,4,7,3677,32,Mild
Kohima Rural,Nagaland,Nagaland_District_1,2023-09-10,2023-06-10 16:38:00,6-18,Male,1,3,0,4,2,0,3,4,ASHA_9298,3,0,3601,16,Mild
Tezpur Rural,Assam,Assam_District_1,2023-10-22,2023-10-15 12:20:00,19-60,Female,2,3,3,0,1,1,3,1,ASHA_4601,1,4,2907,21,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_1,2023-07-13,2023-03-30 08:04:00,60+,Male,3,3,5,1,2,1,0,1,ASHA_3793,0,7,4953,26,Mild
Serchhip Village,Mizoram,Mizoram_District_2,2023-09-26,2023-08-17 17:10:00,6-18,Male,14,2,7,9,7,2,1,6,ASHA_2924,4,1,771,41,Moderate
Kohima Rural,Nagaland,Nagaland_District_2,2023-06-20,2023-05-10 14:03:00,0-5,Female,0,0,3,0,1,2,2,0,ASHA_6601,3,7,2255,10,Severe
Serchhip Village,Mizoram,Mizoram_District_2,2023-12-09,2023-12-07 16:26:00,19-60,Female,5,9,6,5,4,1,3,4,ASHA_4044,0,7,1486,31,Mild
Gyalshing Rural,Sikkim,Sikkim_District_2,2024-01-07,2023-12-05 09:24:00,19-60,Male,0,0,1,2,1,2,0,0,ASHA_5022,2,7,2035,13,Mild
Dimapur Village,Nagaland,Nagaland_District_1,2023-11-22,2023-09-27 12:36:00,0-5,Male,7,3,3,5,4,1,2,4,ASHA_7164,0,3,831,22,Mild
Churachandpur Village,Manipur,Manipur_District_3,2023-09-26,2023-07-13 16:13:00,60+,Male,6,5,6,5,3,1,3,4,ASHA_7432,1,1,2180,36,Mild
Amarpur Village,Tripura,Tripura_District_3,2023-05-16,2023-02-13 08:02:00,60+,Female,6,3,0,3,3,0,0,2,ASHA_9414,2,0,2385,21,Severe
Serchhip Village,Mizoram,Mizoram_District_1,2024-01-23,2023-11-21 09:47:00,0-5,Male,8,3,6,2,2,1,4,1,ASHA_6369,2,7,805,30,Moderate
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-02-06,2023-01-25 11:28:00,60+,Male,2,3,4,1,1,1,2,2,ASHA_3843,1,6,3695,16,Moderate
Tuensang Village,Nagaland,Nagaland_District_3,2023-10-05,2023-08-19 12:43:00,6-18,Female,15,0,6,8,8,4,1,5,ASHA_2352,3,4,1404,31,Moderate
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2024-02-07,2023-11-11 11:37:00,0-5,Male,2,4,3,5,2,1,4,2,ASHA_5832,1,4,4736,23,Moderate
Kailashahar Village,Tripura,Tripura_District_3,2023-12-05,2023-09-19 10:18:00,19-60,Male,5,5,0,4,3,0,1,4,ASHA_7354,3,2,3943,20,Mild
Shillong Rural,Meghalaya,Meghalaya_District_3,2023-03-30,2023-01-19 11:35:00,0-5,Male,4,3,6,2,2,0,3,3,ASHA_8214,0,7,4142,29,Moderate
Pakyong Village,Sikkim,Sikkim_District_1,2023-04-21,2023-02-19 17:04:00,60+,Female,0,8,4,2,1,1,2,2,ASHA_2198,1,0,4580,18,Mild
Champhai Rural,Mizoram,Mizoram_District_3,2023-04-20,2023-02-18 15:01:00,6-18,Male,2,1,4,1,1,2,0,1,ASHA_2160,3,7,523,13,Moderate
Teliamura Rural,Tripura,Tripura_District_1,2024-01-28,2023-10-01 08:09:00,6-18,Female,0,4,1,0,0,0,2,1,ASHA_1872,0,7,3760,14,Mild
Tezpur Rural,Assam,Assam_District_2,2023-08-02,2023-05-22 16:06:00,19-60,Male,0,0,1,2,1,1,0,1,ASHA_1595,4,3,4644,10,Mild
