village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Mangan Village,Sikkim,2023-06-29,WS_89705,Pond,23.483584,92.69739,5.3,24.184,1983.517,4264.0,3.4,144.0,24.38,0.1,0.13,0.95,0.043,IoT Sensor,Agency_6,0,High,
Senapati Rural,Manipur,2023-09-18,WS_90020,River,25.073688,89.034628,6.8,5.324,61.569,76.0,5.9,15.1,0.92,0.036,0.73,1.32,0.045,Lab Analysis,Agency_8,1,Safe,
Dimapur Village,Nagaland,2023-08-01,WS_29024,Piped Supply,27.728731,94.075241,6.33,118.611,368.561,4876.0,1.8,96.3,5.9,1.05,0.23,0.11,0.025,Lab Analysis,Agency_4,0,High,
Senapati Rural,Manipur,2023-04-21,WS_87658,River,28.316286,90.86179,6.86,5.078,43.492,37.0,7.8,37.7,0.03,0.037,1.69,0.51,0.045,Water Testing Kit,Agency_8,1,Safe,
Resubelpara Rural,Meghalaya,2023-11-21,WS_95139,Well,26.307319,95.993942,8.11,2.023,51.242,49.0,5.2,24.7,2.55,0.02,0.48,0.1,0.017,Water Testing Kit,Agency_4,1,Safe,55.0
Resubelpara Rural,Meghalaya,2023-04-02,WS_73163,Tube Well,23.329248,91.777309,7.59,0.123,5.8,74.0,6.3,6.7,1.29,0.002,1.17,1.15,0.004,Water Testing Kit,Agency_2,1,Safe,63.0
Rangpo Rural,Sikkim,2023-07-05,WS_67473,Pond,27.420104,94.974511,8.42,9.208,48.783,50.0,8.5,18.9,1.92,0.009,1.5,0.14,0.031,Water Testing Kit,Agency_4,0,Safe,
Bishnupur Rural,Manipur,2023-06-03,WS_23880,Piped Supply,24.037586,89.761561,6.88,80.318,550.587,216.0,3.9,163.2,12.3,0.92,0.1,1.48,0.044,Water Testing Kit,Agency_8,0,High,
Churachandpur Village,Manipur,2023-06-18,WS_94672,Well,26.226576,88.18606,6.17,54.077,2212.99,4485.0,2.5,135.2,17.93,1.32,1.15,0.11,0.026,Water Testing Kit,Agency_7,0,High,55.0
Kiphire Village,Nagaland,2023-05-05,WS_69257,River,25.848789,90.406617,6.25,118.412,2914.074,1596.0,2.4,127.8,14.79,0.14,1.27,0.21,0.05,Lab Analysis,Agency_9,0,High,
Jowai Rural,Meghalaya,2023-10-25,WS_95198,Well,23.868538,88.481224,8.81,10.254,42.227,15.0,9.0,32.7,2.48,0.049,1.42,1.25,0.008,IoT Sensor,Agency_5,0,Safe,63.0
Gangtok Rural,Sikkim,2023-05-05,WS_12355,Well,23.424684,96.351924,7.45,6.823,5.117,76.0,7.6,18.3,1.71,0.038,1.87,0.96,0.019,IoT Sensor,Agency_4,0,Safe,7.0
Lawngtlai Village,Mizoram,2023-06-16,WS_53034,Well,26.581488,88.284404,7.58,1.399,57.51,22.0,8.3,36.8,0.42,0.036,1.61,1.44,0.002,Lab Analysis,Agency_8,1,Safe,162.0
Nagaon Rural,Assam,2023-03-20,WS_82367,Tube Well,25.66324,88.978202,8.89,4.977,42.429,8.0,7.4,34.5,1.32,0.025,1.73,1.17,0.029,IoT Sensor,Agency_8,1,Safe,129.0
Khliehriat Village,Meghalaya,2023-05-10,WS_83011,River,23.600453,94.028928,6.76,6.877,10.09,34.0,8.3,27.4,2.9,0.013,0.47,0.81,0.014,Lab Analysis,Agency_8,0,Safe,
Belonia Rural,Tripura,2023-02-28,WS_54475,Tube Well,24.713158,94.781861,7.14,2.403,41.567,3.0,8.9,22.4,0.19,0.028,1.72,0.89,0.018,Water Testing Kit,Agency_5,1,Safe,125.0
Barpeta Village,Assam,2023-11-14,WS_62242,River,27.926399,91.482071,6.6,4.023,14.608,64.0,7.3,26.0,1.6,0.037,1.8,0.76,0.008,IoT Sensor,Agency_8,1,Safe,
Namchi Village,Sikkim,2023-05-09,WS_35661,Well,24.292285,94.385078,5.3,59.517,1163.091,3751.0,1.5,135.5,10.45,1.08,1.31,1.4,0.032,Water Testing Kit,Agency_2,0,High,24.0
Thoubal Village,Manipur,2023-07-30,WS_81139,Pond,28.555941,94.076362,5.3,36.481,1695.36,4788.0,2.5,140.1,21.36,1.0,1.42,0.54,0.015,IoT Sensor,Agency_9,0,High,
Pakyong Village,Sikkim,2023-11-04,WS_63404,Tube Well,28.175463,93.836141,6.89,3.571,5.79,58.0,5.3,20.1,1.7,0.011,0.87,0.25,0.04,Water Testing Kit,Agency_8,1,Safe,184.0
Pakyong Village,Sikkim,2023-07-19,WS_24326,Tube Well,24.255421,90.512341,7.64,7.573,6.468,24.0,8.9,20.8,1.59,0.018,1.0,0.47,0.045,IoT Sensor,Agency_9,0,Safe,30.0
Resubelpara Rural,Meghalaya,2024-02-20,WS_41042,Tube Well,27.280192,88.965934,6.61,5.405,33.889,55.0,6.4,30.1,1.39,0.029,1.6,0.63,0.049,IoT Sensor,Agency_3,1,Safe,98.0
Tamenglong Rural,Manipur,2023-08-29,WS_69461,Tube Well,25.6456,93.300808,5.86,54.607,904.492,2277.0,3.6,137.1,17.81,0.32,1.72,0.21,0.012,IoT Sensor,Agency_9,0,High,90.0
Bishnupur Rural,Manipur,2023-05-30,WS_87067,Piped Supply,26.328601,95.929199,8.73,3.305,53.514,29.0,7.4,23.3,2.98,0.02,1.14,0.82,0.041,IoT Sensor,Agency_5,1,Safe,
Senapati Rural,Manipur,2023-08-31,WS_76330,River,23.10338,94.174913,5.57,39.117,827.185,2854.0,1.9,73.9,17.39,1.69,2.0,1.09,0.013,Lab Analysis,Agency_1,0,High,
Tawang Rural,Arunachal Pradesh,2023-04-04,WS_43418,Piped Supply,23.896743,92.787169,7.71,9.409,59.25,24.0,8.0,25.6,0.21,0.002,1.08,0.53,0.03,Water Testing Kit,Agency_3,0,Safe,
Resubelpara Rural,Meghalaya,2023-09-22,WS_33261,Well,26.529257,91.528288,6.65,0.716,0.0,61.0,7.5,11.9,0.84,0.017,0.59,1.24,0.005,IoT Sensor,Agency_7,1,Safe,158.0
Ziro Village,Arunachal Pradesh,2023-07-06,WS_78182,Well,23.184522,90.799006,6.42,5.722,22.966,97.0,6.2,15.3,2.12,0.006,0.02,0.23,0.03,IoT Sensor,Agency_8,0,Safe,113.0
Guwahati Rural,Assam,2023-11-27,WS_94376,River,23.621002,93.349082,7.6,2.563,6.293,86.0,7.6,6.8,0.89,0.039,0.51,0.1,0.007,Water Testing Kit,Agency_7,1,Safe,
Agartala Rural,Tripura,2023-10-05,WS_94559,Pond,25.277059,91.178096,5.43,28.533,1569.026,2960.0,1.5,163.3,21.61,0.54,1.43,0.75,0.004,Water Testing Kit,Agency_9,0,High,
Hnahthial Village,Mizoram,2023-03-17,WS_80628,Well,27.703445,96.977824,8.13,2.451,42.866,25.0,5.6,42.4,1.9,0.005,1.53,1.15,0.035,Water Testing Kit,Agency_6,1,Safe,184.0
Agartala Rural,Tripura,2023-09-06,WS_90034,Tube Well,28.658486,96.568209,6.99,7.982,61.586,97.0,8.6,2.8,1.88,0.022,0.2,0.31,0.046,IoT Sensor,Agency_8,0,Safe,27.0
Tura Village,Meghalaya,2023-02-22,WS_54182,River,24.767664,94.930997,7.23,4.639,52.168,39.0,5.8,6.1,2.64,0.043,0.9,0.33,0.009,IoT Sensor,Agency_7,1,Safe,
Champhai Rural,Mizoram,2023-03-06,WS_83207,Piped Supply,27.420949,91.077518,6.47,1.003,11.749,36.0,7.1,21.8,2.56,0.007,0.94,0.04,0.006,Water Testing Kit,Agency_9,1,Safe,
Senapati Rural,Manipur,2023-01-14,WS_91772,River,24.038631,93.643978,8.35,8.53,44.805,92.0,8.2,41.0,0.31,0.048,0.08,0.28,0.032,IoT Sensor,Agency_5,0,Safe,
Nagaon Rural,Assam,2023-08-28,WS_66796,Well,23.459687,89.661088,5.3,38.479,1221.618,577.0,3.7,166.3,12.63,0.35,0.8,0.57,0.013,Lab Analysis,Agency_9,0,High,123.0
Nongpoh Village,Meghalaya,2023-05-13,WS_43354,Pond,25.364382,88.649133,7.64,6.943,13.015,48.0,6.5,11.0,1.79,0.027,1.06,0.48,0.02,Water Testing Kit,Agency_7,0,Safe,
Gyalshing Rural,Sikkim,2023-02-22,WS_36152,Well,26.800078,93.977754,7.16,8.492,17.622,10.0,8.5,18.6,1.07,0.044,0.14,1.02,0.033,Water Testing Kit,Agency_9,0,Safe,46.0
Champhai Rural,Mizoram,2023-04-20,WS_59539,Tube Well,27.772721,92.876515,5.93,35.438,364.761,2095.0,2.7,174.1,17.69,1.03,0.88,0.4,0.027,IoT Sensor,Agency_5,0,High,54.0
Barpeta Village,Assam,2023-09-28,WS_46587,River,25.677208,90.579884,6.12,22.891,401.066,4378.0,3.7,105.9,15.8,0.41,1.73,0.88,0.007,Lab Analysis,Agency_6,0,High,
Belonia Rural,Tripura,2023-08-21,WS_67254,Spring,26.601447,89.592626,5.3,78.968,2411.42,3460.0,3.4,165.5,9.27,1.43,1.3,0.93,0.02,Water Testing Kit,Agency_4,0,High,
Pakyong Village,Sikkim,2023-03-23,WS_74801,Pond,28.912542,93.471894,5.65,103.082,1790.948,4486.0,3.8,117.4,18.96,0.86,1.63,0.74,0.033,Lab Analysis,Agency_7,0,High,
Tamenglong Rural,Manipur,2023-06-10,WS_21667,Piped Supply,27.466137,96.316126,5.57,52.156,296.364,4714.0,1.8,134.7,12.45,0.62,1.53,0.02,0.033,Water Testing Kit,Agency_3,0,High,
Phek Rural,Nagaland,2023-03-29,WS_58694,Pond,23.416574,94.219677,5.5,67.234,1661.245,4048.0,3.8,169.4,23.18,1.05,0.13,1.19,0.028,IoT Sensor,Agency_1,0,High,
Shillong Rural,Meghalaya,2024-01-23,WS_24475,Well,26.084957,89.56954,7.33,5.986,23.513,0.0,6.5,27.1,2.21,0.028,1.89,1.24,0.007,Lab Analysis,Agency_7,0,Safe,65.0
Champhai Rural,Mizoram,2023-06-02,WS_67176,Piped Supply,25.71117,92.150957,7.01,4.686,32.1,74.0,7.0,38.0,1.45,0.002,1.96,0.86,0.006,IoT Sensor,Agency_7,1,Safe,
Jiribam Village,Manipur,2023-08-15,WS_75225,Pond,23.489374,93.528472,7.14,1.0,17.297,88.0,6.2,18.8,0.93,0.049,0.84,0.29,0.012,Lab Analysis,Agency_1,1,Safe,
Mangan Village,Sikkim,2023-11-12,WS_45351,Piped Supply,26.390066,90.471255,7.79,9.742,68.027,59.0,8.5,17.4,2.66,0.017,1.4,0.17,0.017,Water Testing Kit,Agency_1,0,Safe,
Tuensang Village,Nagaland,2023-10-25,WS_57352,Piped Supply,24.058364,93.543685,6.46,6.91,40.13,62.0,8.9,14.5,2.96,0.002,0.74,1.2,0.03,IoT Sensor,Agency_6,0,Safe,
Dharmanagar Rural,Tripura,2023-10-21,WS_67560,Tube Well,25.96247,93.537502,8.41,1.404,38.373,65.0,5.4,35.2,0.1,0.049,1.49,0.12,0.005,Lab Analysis,Agency_2,1,Safe,183.0
Roing Village,Arunachal Pradesh,2023-10-16,WS_62195,River,23.317575,88.499857,5.91,88.526,822.649,1276.0,3.0,183.3,5.41,1.98,0.55,0.85,0.045,IoT Sensor,Agency_7,0,High,
Rangpo Rural,Sikkim,2023-08-09,WS_95352,Pond,28.625596,88.728541,7.26,2.603,41.786,98.0,5.3,37.6,0.36,0.017,0.64,0.36,0.003,Water Testing Kit,Agency_5,1,Safe,
Lawngtlai Village,Mizoram,2023-02-24,WS_48761,River,24.346018,90.10789,5.3,42.143,1288.491,3163.0,1.4,115.1,6.45,0.17,1.89,0.45,0.021,Lab Analysis,Agency_2,0,High,
Senapati Rural,Manipur,2023-07-29,WS_42171,Spring,26.748568,96.576955,6.87,7.606,16.618,56.0,8.1,15.5,1.67,0.023,0.22,1.11,0.007,Water Testing Kit,Agency_9,0,Safe,
Jowai Rural,Meghalaya,2024-01-04,WS_90151,Well,24.838973,89.10563,5.3,25.592,1326.247,4766.0,3.0,115.4,14.88,0.38,1.38,1.38,0.009,IoT Sensor,Agency_5,0,High,154.0
Dharmanagar Rural,Tripura,2023-04-16,WS_58381,Well,27.570727,88.915981,7.48,9.955,55.436,30.0,5.6,28.1,2.59,0.029,1.37,0.17,0.025,IoT Sensor,Agency_8,0,Safe,121.0
Tuensang Village,Nagaland,2023-05-14,WS_99897,Well,26.250542,94.881309,6.8,8.164,59.079,70.0,8.6,24.7,1.44,0.026,0.7,0.14,0.03,IoT Sensor,Agency_3,0,Safe,161.0
Nongpoh Village,Meghalaya,2023-04-05,WS_74249,Well,28.232331,96.090428,7.32,0.483,47.973,31.0,7.5,1.2,0.0,0.009,0.35,0.34,0.027,Water Testing Kit,Agency_3,1,Safe,171.0
Tawang Rural,Arunachal Pradesh,2023-05-31,WS_74794,Piped Supply,26.979205,96.35885,7.37,6.34,55.155,44.0,7.0,26.2,0.19,0.043,0.0,1.43,0.014,Lab Analysis,Agency_3,0,Safe,
Dibrugarh Rural,Assam,2023-05-16,WS_15620,Well,26.887967,90.61938,7.62,3.19,14.425,55.0,5.1,15.3,1.58,0.017,1.05,0.88,0.042,IoT Sensor,Agency_8,1,Safe,14.0
Karimganj Village,Assam,2023-05-08,WS_13446,Well,27.367013,96.234712,7.17,5.618,12.47,89.0,8.4,34.4,2.43,0.048,0.1,1.22,0.003,IoT Sensor,Agency_6,0,Safe,154.0
Silchar Village,Assam,2023-10-11,WS_23114,Tube Well,24.662643,91.65067,8.12,5.392,50.321,71.0,7.4,5.2,0.87,0.006,0.25,1.46,0.0,Water Testing Kit,Agency_9,1,Safe,88.0
Kohima Rural,Nagaland,2023-07-15,WS_17468,Well,23.464366,96.60083,5.3,37.235,2833.498,4596.0,3.7,50.3,14.01,1.59,1.03,0.01,0.024,IoT Sensor,Agency_6,0,High,59.0
Jorethang Rural,Sikkim,2024-03-27,WS_87645,Piped Supply,26.198998,91.929395,7.29,2.324,49.631,92.0,8.8,41.4,0.85,0.01,1.26,0.08,0.049,IoT Sensor,Agency_9,1,Safe,
Tamenglong Rural,Manipur,2023-03-19,WS_39633,Tube Well,24.326918,94.023219,7.71,8.139,49.151,10.0,6.3,25.3,0.32,0.002,1.94,1.01,0.041,IoT Sensor,Agency_1,0,Safe,42.0
Nongpoh Village,Meghalaya,2023-07-28,WS_43354,Pond,25.364382,88.649133,7.48,6.497,11.992,48.0,6.5,11.0,1.79,0.027,1.06,0.48,0.02,Water Testing Kit,Agency_7,0,Safe,
Pakyong Village,Sikkim,2023-05-15,WS_80544,River,25.535085,90.210982,8.01,7.927,48.802,84.0,8.5,6.0,1.08,0.04,1.77,1.44,0.035,IoT Sensor,Agency_1,0,Safe,
Tuensang Village,Nagaland,2023-06-05,WS_89862,River,28.014997,95.440624,6.23,7.917,40.64,55.0,6.3,16.4,0.17,0.038,1.59,0.86,0.05,Water Testing Kit,Agency_4,0,Safe,
Thoubal Village,Manipur,2024-01-03,WS_64776,Piped Supply,25.90186,95.706542,7.25,5.391,2.871,85.0,5.8,5.2,1.45,0.037,1.29,1.2,0.024,IoT Sensor,Agency_3,1,Safe,
Champhai Rural,Mizoram,2023-09-09,WS_85788,Pond,25.510989,88.643942,5.3,128.627,1343.124,3739.0,3.6,66.8,10.25,1.05,0.04,0.9,0.031,IoT Sensor,Agency_3,0,High,
Nongpoh Village,Meghalaya,2023-06-03,WS_70476,River,27.857831,96.016096,6.14,85.337,1609.655,477.0,1.4,55.9,19.37,1.01,1.73,1.39,0.047,Lab Analysis,Agency_2,0,High,
Resubelpara Rural,Meghalaya,2024-02-08,WS_65129,Pond,28.985041,93.48752,6.62,2.339,11.014,16.0,8.7,16.4,0.59,0.009,0.04,0.38,0.021,Water Testing Kit,Agency_9,1,Safe,
Baghmara Rural,Meghalaya,2023-12-11,WS_34639,Well,25.21219,94.999182,7.59,8.088,47.021,97.0,5.4,3.6,2.72,0.048,1.54,0.33,0.019,Water Testing Kit,Agency_1,0,Safe,90.0
Wokha Rural,Nagaland,2023-04-20,WS_31388,River,23.264889,90.279308,6.82,7.401,23.799,49.0,6.6,22.0,0.05,0.041,0.52,1.07,0.025,IoT Sensor,Agency_8,0,Safe,
Belonia Rural,Tripura,2023-11-01,WS_58418,Well,26.142392,94.005864,8.15,5.388,46.651,100.0,7.5,9.9,1.72,0.012,0.88,0.28,0.025,IoT Sensor,Agency_3,1,Safe,181.0
Imphal Rural,Manipur,2023-05-29,WS_38033,Piped Supply,24.833543,90.371695,7.2,6.98,16.272,92.0,8.4,40.3,0.89,0.005,0.44,0.84,0.027,IoT Sensor,Agency_4,0,Safe,
Khliehriat Village,Meghalaya,2023-03-09,WS_66066,Well,27.425286,92.16481,6.7,2.378,29.803,5.0,6.6,15.8,1.94,0.036,0.76,0.55,0.021,IoT Sensor,Agency_5,1,Safe,104.0
Guwahati Rural,Assam,2023-05-11,WS_48352,Piped Supply,28.928577,96.356122,7.47,4.715,62.005,72.0,7.5,38.9,0.99,0.014,0.91,0.17,0.044,IoT Sensor,Agency_3,1,Safe,
Nagaon Rural,Assam,2023-11-05,WS_44302,Piped Supply,23.766898,89.204981,8.47,5.766,11.34,58.0,7.3,28.8,0.3,0.034,1.18,0.22,0.015,Water Testing Kit,Agency_8,0,Safe,
Kohima Rural,Nagaland,2023-05-09,WS_40671,Spring,23.564935,92.873291,5.43,26.393,303.277,701.0,1.8,154.5,22.22,0.93,1.44,0.95,0.028,Water Testing Kit,Agency_7,0,High,
Naharlagun Village,Arunachal Pradesh,2023-05-19,WS_30687,Piped Supply,25.277879,92.411518,7.15,1.524,41.889,61.0,7.3,8.2,0.79,0.031,0.4,0.02,0.01,Water Testing Kit,Agency_9,1,Safe,
Lawngtlai Village,Mizoram,2023-11-19,WS_20406,Well,27.927576,88.029333,8.49,3.774,58.516,24.0,7.3,43.4,1.67,0.01,0.73,0.23,0.015,IoT Sensor,Agency_8,1,Safe,147.0
Jiribam Village,Manipur,2023-12-19,WS_32322,Pond,28.331415,93.238531,5.57,31.743,2245.438,3944.0,1.9,128.0,22.1,1.87,1.95,0.42,0.002,IoT Sensor,Agency_4,0,High,
Silchar Village,Assam,2024-01-13,WS_48803,Well,26.870506,91.127725,5.86,95.884,2531.436,3821.0,3.5,173.5,10.43,1.65,1.31,0.22,0.024,IoT Sensor,Agency_6,0,High,13.0
Phek Rural,Nagaland,2023-12-31,WS_74846,Pond,24.356798,93.755176,6.08,119.02,1880.205,1506.0,3.4,185.3,5.17,0.11,0.56,1.17,0.026,Lab Analysis,Agency_6,0,High,
Agartala Rural,Tripura,2023-07-08,WS_58024,Tube Well,24.712526,88.77244,7.77,7.588,59.752,22.0,8.9,43.4,0.89,0.031,1.15,0.59,0.044,IoT Sensor,Agency_9,0,Safe,25.0
Tura Village,Meghalaya,2023-06-30,WS_38103,Tube Well,24.800024,93.380011,7.1,0.689,54.724,8.0,8.3,19.7,1.31,0.026,0.01,0.42,0.002,IoT Sensor,Agency_2,1,Safe,197.0
Mokokchung Rural,Nagaland,2023-07-01,WS_40814,Tube Well,27.324635,92.054641,7.16,1.541,39.395,30.0,6.1,4.8,0.1,0.039,0.76,0.27,0.002,IoT Sensor,Agency_2,1,Safe,96.0
Barpeta Village,Assam,2023-09-13,WS_83410,River,26.543094,90.251582,7.8,4.027,13.145,21.0,6.2,33.9,1.44,0.035,0.43,0.93,0.047,Lab Analysis,Agency_6,1,Safe,
Thoubal Village,Manipur,2023-09-18,WS_43515,Tube Well,23.861661,90.626517,7.96,8.558,19.421,51.0,8.2,23.7,1.93,0.046,0.43,0.86,0.021,IoT Sensor,Agency_6,0,Safe,166.0
Kolasib Rural,Mizoram,2023-01-03,WS_76346,River,25.823681,93.785997,5.85,29.693,1186.594,4997.0,1.4,172.3,20.98,0.95,1.93,1.31,0.044,Lab Analysis,Agency_4,0,High,
Tezpur Rural,Assam,2023-07-05,WS_38199,River,23.142677,93.055381,5.89,59.356,2461.666,4804.0,2.0,81.2,6.51,0.51,0.73,0.91,0.027,IoT Sensor,Agency_3,0,High,
Churachandpur Village,Manipur,2023-12-14,WS_26603,River,24.463265,92.494205,5.91,81.84,1813.481,2618.0,1.8,115.3,15.24,0.51,1.86,0.86,0.003,IoT Sensor,Agency_7,0,High,
Senapati Rural,Manipur,2024-01-01,WS_47399,River,25.301772,90.72895,5.5,38.88,1481.275,4461.0,3.5,170.0,10.68,1.0,1.19,1.48,0.034,IoT Sensor,Agency_5,0,High,
Jiribam Village,Manipur,2023-04-28,WS_43782,River,27.478154,95.819049,5.3,78.192,2299.599,1376.0,1.6,76.0,12.21,1.33,0.16,0.65,0.015,Water Testing Kit,Agency_3,0,High,
Tawang Rural,Arunachal Pradesh,2023-08-31,WS_31180,Pond,26.532491,90.95534,5.3,103.633,1667.448,2497.0,2.8,142.5,22.09,1.16,0.51,1.21,0.026,Water Testing Kit,Agency_1,0,High,
Kiphire Village,Nagaland,2023-11-30,WS_27179,Piped Supply,27.55746,89.162692,7.47,4.509,43.569,15.0,7.1,3.3,1.19,0.01,1.26,0.44,0.003,IoT Sensor,Agency_7,1,Safe,
Teliamura Rural,Tripura,2023-08-19,WS_31150,Spring,23.994238,89.344525,5.3,21.918,2286.741,1732.0,4.0,142.7,8.29,0.74,1.82,0.27,0.005,Water Testing Kit,Agency_3,0,High,
Roing Village,Arunachal Pradesh,2023-05-10,WS_67370,Piped Supply,23.557207,96.154316,6.49,0.35,64.632,2.0,7.5,20.4,2.33,0.004,1.55,0.8,0.022,Water Testing Kit,Agency_3,1,Safe,
Senapati Rural,Manipur,2023-10-13,WS_44484,River,28.915827,92.77469,7.11,6.686,0.0,19.0,7.5,14.4,1.23,0.041,1.44,1.4,0.019,Water Testing Kit,Agency_7,0,Safe,
Jorhat Village,Assam,2023-04-07,WS_13823,Well,23.933446,90.78957,8.3,9.263,58.909,84.0,6.7,36.1,2.33,0.012,1.81,0.49,0.014,IoT Sensor,Agency_2,0,Safe,50.0
Amarpur Village,Tripura,2023-06-21,WS_52394,Well,24.9203,90.647682,8.15,3.447,52.985,59.0,7.9,40.4,1.45,0.042,0.06,0.85,0.045,IoT Sensor,Agency_8,1,Safe,14.0
Saitual Rural,Mizoram,2024-03-06,WS_39749,Spring,28.753805,91.460949,8.0,5.073,25.231,82.0,5.1,19.2,2.64,0.004,1.5,0.94,0.025,IoT Sensor,Agency_8,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-06-21,WS_93020,Pond,28.017117,90.219585,7.75,5.841,15.947,71.0,7.3,18.2,0.16,0.017,1.34,0.91,0.006,IoT Sensor,Agency_6,0,Safe,
Udaipur Village,Tripura,2024-02-03,WS_97480,Pond,27.063414,95.51227,7.59,6.243,16.719,23.0,6.5,11.8,2.58,0.009,0.68,0.81,0.025,Water Testing Kit,Agency_8,0,Safe,
Bishnupur Rural,Manipur,2023-12-29,WS_81636,Well,25.795843,92.222247,8.34,9.219,24.891,1.0,8.6,35.6,1.25,0.031,1.74,1.12,0.04,Lab Analysis,Agency_2,0,Safe,27.0
Kolasib Rural,Mizoram,2023-11-26,WS_26731,River,25.266434,89.332528,5.63,119.44,2408.35,1952.0,3.1,119.2,23.57,1.27,0.55,0.5,0.008,Water Testing Kit,Agency_4,0,High,
Khliehriat Village,Meghalaya,2023-02-02,WS_85487,Piped Supply,25.127748,90.052122,8.26,7.247,3.315,34.0,8.0,18.8,1.31,0.04,0.72,1.05,0.018,Lab Analysis,Agency_2,0,Safe,
Thoubal Village,Manipur,2023-07-05,WS_81139,Pond,28.555941,94.076362,5.3,45.478,1964.839,4788.0,2.5,140.1,21.36,1.0,1.42,0.54,0.015,IoT Sensor,Agency_9,0,High,
Namchi Village,Sikkim,2023-11-06,WS_15141,Pond,24.05243,89.776735,7.63,1.752,49.486,47.0,8.4,34.4,2.17,0.014,0.02,0.03,0.021,Water Testing Kit,Agency_7,1,Safe,
Barpeta Village,Assam,2023-06-14,WS_62591,Spring,23.565477,90.6596,6.05,83.479,2838.862,4391.0,2.7,133.1,8.02,0.21,0.32,1.1,0.034,Water Testing Kit,Agency_8,0,High,
Amarpur Village,Tripura,2023-10-21,WS_93099,Tube Well,28.850069,95.234419,8.04,8.933,0.0,65.0,6.5,27.6,0.16,0.008,0.41,1.17,0.049,Water Testing Kit,Agency_6,0,Safe,74.0
Roing Village,Arunachal Pradesh,2023-12-01,WS_55017,Tube Well,23.15907,91.60627,7.83,5.677,15.897,2.0,8.3,21.7,0.29,0.048,1.49,0.14,0.009,IoT Sensor,Agency_8,0,Safe,170.0
Williamnagar Village,Meghalaya,2023-09-01,WS_15440,Spring,27.437029,89.920902,7.91,6.369,38.432,69.0,8.2,15.3,0.66,0.017,0.51,1.49,0.038,IoT Sensor,Agency_2,0,Safe,
Roing Village,Arunachal Pradesh,2024-01-14,WS_62195,River,23.317575,88.499857,5.78,102.587,925.785,1276.0,3.0,183.3,5.41,1.98,0.55,0.85,0.045,IoT Sensor,Agency_7,0,High,
Pasighat Rural,Arunachal Pradesh,2024-01-02,WS_38020,Well,24.045288,92.881992,7.97,0.975,50.219,69.0,5.6,1.9,0.41,0.006,1.49,0.84,0.043,Water Testing Kit,Agency_2,1,Safe,63.0
Resubelpara Rural,Meghalaya,2023-08-26,WS_97852,Pond,27.334942,92.165624,6.04,99.025,1353.566,2922.0,4.0,182.6,13.15,1.54,1.9,1.08,0.048,IoT Sensor,Agency_9,0,High,
Aizawl Rural,Mizoram,2024-01-17,WS_60033,Tube Well,27.257704,92.802707,7.24,4.71,17.988,11.0,6.2,11.9,1.01,0.023,0.19,0.9,0.007,IoT Sensor,Agency_6,1,Safe,88.0
Lawngtlai Village,Mizoram,2024-01-12,WS_53681,Well,23.333158,95.46135,8.41,7.442,68.057,20.0,8.4,19.3,2.94,0.03,0.59,1.16,0.008,Water Testing Kit,Agency_3,0,Safe,16.0
Pasighat Rural,Arunachal Pradesh,2023-02-02,WS_87826,Tube Well,27.631582,94.994018,5.3,43.041,143.277,4409.0,2.0,102.0,6.99,1.98,1.31,0.26,0.036,Lab Analysis,Agency_5,0,High,188.0
Lawngtlai Village,Mizoram,2023-03-05,WS_59398,Piped Supply,25.424385,93.755719,7.67,6.662,0.0,32.0,5.3,30.7,0.64,0.013,1.25,1.48,0.035,IoT Sensor,Agency_4,0,Safe,
Amarpur Village,Tripura,2023-07-21,WS_21957,Piped Supply,27.841316,88.269208,8.39,3.996,3.189,63.0,7.9,20.6,1.52,0.027,1.11,0.05,0.01,IoT Sensor,Agency_7,1,Safe,
Amarpur Village,Tripura,2023-08-06,WS_29398,Spring,25.552048,89.835335,7.42,3.987,1.532,95.0,8.1,31.3,0.09,0.038,1.14,1.46,0.004,Water Testing Kit,Agency_3,1,Safe,
Pakyong Village,Sikkim,2023-11-12,WS_11319,Pond,27.713493,89.25581,7.53,7.125,61.859,34.0,6.9,24.2,2.06,0.042,0.67,0.38,0.008,IoT Sensor,Agency_2,0,Safe,
Tamenglong Rural,Manipur,2024-02-09,WS_44590,Pond,26.644068,90.056239,7.95,9.589,31.664,10.0,5.3,18.6,2.96,0.031,0.43,1.22,0.033,Water Testing Kit,Agency_4,0,Safe,
Nagaon Rural,Assam,2023-07-21,WS_37569,Well,23.78239,95.830562,8.36,0.349,53.341,99.0,6.7,42.4,0.78,0.049,1.88,1.23,0.005,Lab Analysis,Agency_4,1,Safe,10.0
Jowai Rural,Meghalaya,2023-11-04,WS_90170,Piped Supply,23.951778,93.328034,6.63,8.415,19.098,25.0,5.2,11.3,1.86,0.01,1.34,1.16,0.015,Water Testing Kit,Agency_9,0,Safe,
